Name,Size,Modified Time,Path
wb.2.log,8213,1662821174.7862074,/home/daniel/.mysql/workbench/log/wb.2.log
kdeglobals,3662,1671944920.0439067,/home/daniel/.kde/share/config/kdeglobals
gdk-pixbuf-loaders.cache,3540,1672065573.571728,/home/daniel/snap/code/common/.cache/gdk-pixbuf-loaders.cache
.last_revision,32,1669769557.8291442,/home/daniel/snap/firefox/2154/.last_revision
recently-used.xbel,9478,1671947517.9413407,/home/daniel/snap/firefox/2154/.local/share/recently-used.xbel
default.keyring,275,1662340537.8941698,/home/daniel/snap/firefox/2154/.local/share/keyrings/default.keyring
user-dirs.locale,5,1659401714.1107314,/home/daniel/snap/firefox/2154/.config/user-dirs.locale
user-dirs.dirs,689,1669769557.7491462,/home/daniel/snap/firefox/2154/.config/user-dirs.dirs
user-dirs.locale.md5sum,36,1669769557.7731454,/home/daniel/snap/firefox/2154/.config/user-dirs.locale.md5sum
user-dirs.dirs.md5sum,36,1669769557.753146,/home/daniel/snap/firefox/2154/.config/user-dirs.dirs.md5sum
